"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@bradrohrer We're sorry to hear this, Brad! Could you pls DM us w/ more details so we can pass this feedback along to IKEA Stoughton?",FALSE,0,"bradrohrer",2017-02-27 00:16:36,FALSE,"836003153350914048","836007086702145538","26011314","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Help prevent furniture tip-over injuries &amp; deaths by sharing these tips with friends. https://t.co/8im3o71PgR https://t.co/XOGGBgWpKi",FALSE,13,NA,2017-02-27 00:00:06,FALSE,NA,"836002935767093249",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",6,FALSE,FALSE,NA,NA
"Looking for home décor inspiration? Explore the 2017 #IKEA Catalog today! https://t.co/CYtY3igorN https://t.co/6yqVLwBNm3",FALSE,22,NA,2017-02-26 17:00:12,FALSE,NA,"835897265428418560",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"@ClutchScience Awesome! <U+267B><U+FE0F>",FALSE,0,"ClutchScience",2017-02-26 14:53:05,FALSE,"835737970577571841","835865273118961665","628791644","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"A #kitchen with a neutral color palette never goes out of style. Shop this look: https://t.co/zWkzTyv3vE https://t.co/KeyNYFIp2O",FALSE,13,NA,2017-02-25 17:00:14,FALSE,NA,"835534882247847937",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",4,FALSE,FALSE,NA,NA
"Introducing the #IKEA PS 2017 collection, made for the fiercely independent. https://t.co/N6Puvmy4fS https://t.co/CPRBU0LnWz",FALSE,15,NA,2017-02-25 00:00:09,FALSE,NA,"835278169670180864",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",10,FALSE,FALSE,NA,NA
"RT @IKEAUSAHelp: Our phone lines have been restored. We appreciate your patience with us!",FALSE,0,NA,2017-02-24 23:29:16,FALSE,NA,"835270398367395840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",1,TRUE,FALSE,NA,NA
"RT @IKEAUSAHelp: Hi IKEA fans! Our Customer Support Center is experiencing technical difficulties &amp; our phones are down. We're working to r…",FALSE,0,NA,2017-02-24 21:44:28,FALSE,NA,"835244024676089856",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",3,TRUE,FALSE,NA,NA
"@lillymmaier Looks as good as ours! <U+0001F37D>",FALSE,1,"lillymmaier",2017-02-24 19:34:24,FALSE,"835208105034121216","835211295045582848","560362015","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"@Nitrosportman We think we know how! <U+0001F49B> Send us a DM with your contact info!",FALSE,0,"Nitrosportman",2017-02-24 17:18:37,FALSE,"835170916741042185","835177123346280449","2858345665","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
