"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Tomorrow on #MicrosoftUnboxed <U+0001F4E6>, look into the future of our campus transformation. <U+0001F52E> Subscribe and tune in at 9AM… https://t.co/A9JrN3vWPG",FALSE,121,NA,2019-02-28 00:00:00,TRUE,NA,"1100908439809806344",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",24,FALSE,FALSE,NA,NA
".@BentleySystems uses #HoloLens2 to merge digital models with physical reality. Here's how they make 4D constructio… https://t.co/aZJG7EEqyf",FALSE,231,NA,2019-02-27 20:49:27,TRUE,NA,"1100860484197052416",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",61,FALSE,FALSE,NA,NA
"RT @MicrosoftDE: “The car becomes an internet device – probably the most sophisticated internet device” says @VW_Group-CEO Dr. Herbert Dies…",FALSE,0,NA,2019-02-27 19:03:02,FALSE,NA,"1100833706145509376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",64,TRUE,FALSE,NA,NA
"RT @volkswagen: Volkswagen Automotive Cloud: #VW and @Microsoft share progress on strategic partnership. https://t.co/SGyQhDvxP4 #VWxMicros…",FALSE,0,NA,2019-02-27 19:02:39,FALSE,NA,"1100833607864569856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",42,TRUE,FALSE,NA,NA
"RT @msdev: Level up your development skills at #MSBuild, May 6-8, 2019 in Seattle. Registration is now open! https://t.co/oRnG0TZMwF https:…",FALSE,0,NA,2019-02-27 17:22:56,FALSE,NA,"1100808514828566529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",223,TRUE,FALSE,NA,NA
".@BentleySystems uses #HoloLens2 to merge digital models with physical reality. Here's how they make 4D constructio… https://t.co/HcovpyEugo",FALSE,288,NA,2019-02-26 21:42:06,TRUE,NA,"1100511348163670016",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",76,FALSE,FALSE,NA,NA
"RT @satyanadella: A look at how our Dynamics 365 mixed reality apps, when paired with HoloLens 2, empower workers everywhere, making it eas…",FALSE,0,NA,2019-02-26 21:28:08,FALSE,NA,"1100507833240408064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",159,TRUE,FALSE,NA,NA
"We’re honored to be named by @Ethisphere as one of the #WorldsMostEthicalCompanies for the ninth year in a row: https://t.co/Hy8sDkaEa7",FALSE,201,NA,2019-02-26 18:02:20,FALSE,NA,"1100456042171789312",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",54,FALSE,FALSE,NA,NA
"RT @Daimler: .@satyanadella‘s three keys for leadership: 

Capability of bringing clarity into a situation where none exists 
Creating ener…",FALSE,0,NA,2019-02-26 00:06:15,FALSE,NA,"1100185237513011206",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",56,TRUE,FALSE,NA,NA
"RT @GSMA: “Sometimes it is about being true to what you are good at and caring about what customers want” shares @satyanadella, CEO, @Micro…",FALSE,0,NA,2019-02-26 00:06:08,FALSE,NA,"1100185207892819968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",30,TRUE,FALSE,NA,NA
